Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS
Date,,,,,,
2002-08-12,444.03857421875,453.3999938964844,459.75,450.1000061035156,450.1000061035156,50600
2002-08-13,438.1135559082031,447.3500061035156,454.5,445.25,454.5,25600
2002-08-14,425.82269287109375,434.79998779296875,449.0,416.0,416.0,105200
2002-08-15,425.82269287109375,434.79998779296875,434.79998779296875,434.79998779296875,434.79998779296875,0
2002-08-16,418.8202209472656,427.6499938964844,441.0,412.5,412.5,143100
2002-08-19,420.7790222167969,429.6499938964844,431.3999938964844,425.04998779296875,430.0,68300
2002-08-20,428.6138000488281,437.6499938964844,442.8500061035156,425.0,432.1000061035156,53900
2002-08-21,425.96954345703125,434.95001220703125,445.0,434.04998779296875,445.0,33600
2002-08-22,419.3099365234375,428.1499938964844,438.75,427.29998779296875,430.1000061035156,123100
2002-08-23,411.1813049316406,419.8500061035156,428.8999938964844,418.5,427.0,170900
2002-08-26,409.12469482421875,417.75,425.0,414.5,419.5,136900
2002-08-27,408.5860595703125,417.20001220703125,420.0,416.25,420.0,158200
2002-08-28,409.2715759277344,417.8999938964844,440.0,413.0,440.0,70400
2002-08-29,409.4674987792969,418.1000061035156,419.95001220703125,402.75,402.75,77100
2002-08-30,409.8101806640625,418.45001220703125,420.0,409.0,418.0,54900
2002-09-02,407.2149353027344,415.79998779296875,423.8999938964844,408.54998779296875,420.0,128100
2002-09-03,407.5087585449219,416.1000061035156,419.0,412.6000061035156,419.0,109700
2002-09-04,409.6143798828125,418.25,420.0,413.5,415.0,66200
2002-09-05,411.0343933105469,419.70001220703125,425.0,418.29998779296875,420.0,82800
2002-09-06,410.4958190917969,419.1499938964844,420.0,416.1000061035156,420.0,43500
2002-09-09,411.23028564453125,419.8999938964844,420.3500061035156,416.95001220703125,420.0,52200
2002-09-10,411.23028564453125,419.8999938964844,419.8999938964844,419.8999938964844,419.8999938964844,0
2002-09-11,411.0833435058594,419.75,423.0,419.0,420.0,33700
2002-09-12,411.4261474609375,420.1000061035156,421.0,417.25,420.0,35100
2002-09-13,411.7199401855469,420.3999938964844,425.0,418.04998779296875,418.04998779296875,80300
2002-09-16,411.2792663574219,419.95001220703125,423.75,417.25,420.0,13100
2002-09-17,405.0113830566406,413.54998779296875,422.0,407.25,422.0,54100
2002-09-18,393.0633544921875,401.3500061035156,416.0,395.70001220703125,410.0,63100
2002-09-19,375.9735412597656,383.8999938964844,402.0,375.54998779296875,401.0,188200
2002-09-20,369.31402587890625,377.1000061035156,382.5,375.0,375.0,165500
